Franchise_id,Season,Lg,Team_id,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs
NJN,1973,ABA,NYA,55,29,.655,1,4.80,105.0,2.4,103.5,0.5,98.4,-4.6,Won Finals,
NJN,1972,ABA,NYA,30,54,.357,4,-5.80,104.5,-4.8,98.8,-3.0,105.0,3.2,Lost E. Div. Semis,
NJN,1971,ABA,NYA,44,40,.524,3,0.21,108.8,-3.1,102.3,1.7,101.9,1.3,Lost Finals,
NJN,1970,ABA,NYA,40,44,.476,3,-0.86,107.3,-3.8,103.0,-2.0,103.5,-1.5,Lost E. Div. Semis,
NJN,1969,ABA,NYA,39,45,.464,4,-1.02,107.2,-2.0,100.7,-2.0,101.5,-1.2,Lost E. Div. Semis,
NJN,1968,ABA,NYA,17,61,.218,5,-7.89,109.4,0.0,98.4,-5.6,106.3,2.3,,
NJN,1967,ABA,NJA,36,42,.462,5,-1.13,108.2,1.2,102.2,0.9,103.7,2.4,,
CHA,2014,NBA,CHO,22,27,.449,3,-2.02,92.7,-1.1,100.7,-5.1,102.8,-3.0,,
CHA,2013,NBA,CHA,43,39,.524,3,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9,Lost E. Conf. 1st Rnd.,
CHA,2012,NBA,CHA,21,61,.256,4,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6,,
CHA,2011,NBA,CHA,7,59,.106,5,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8,,
CHA,2010,NBA,CHA,34,48,.415,4,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5,,
CHA,2009,NBA,CHA,44,38,.537,4,1.30,90.4,-2.3,104.4,-3.2,102.8,-4.8,Lost E. Conf. 1st Rnd.,
CHA,2008,NBA,CHA,35,47,.427,4,-1.20,88.3,-3.4,104.7,-3.6,106.1,-2.2,,
CHA,2007,NBA,CHA,32,50,.390,4,-4.49,91.8,-0.6,104.6,-2.9,109.4,1.9,,
CHA,2006,NBA,CHA,33,49,.402,4,-3.97,92.0,0.1,103.6,-2.9,107.6,1.1,,
CHA,2005,NBA,CHA,26,56,.317,4,-3.90,93.4,2.9,102.5,-3.7,106.7,0.5,,
CHA,2004,NBA,CHA,18,64,.220,4,-6.15,92.3,1.4,101.1,-5.0,107.5,1.4,,
CHA,2001,NBA,CHH,44,38,.537,2,0.57,89.7,-1.0,104.3,-0.2,103.3,-1.2,Lost E. Conf. Semis,
CHA,2000,NBA,CHH,46,36,.561,3,1.45,89.4,-1.9,101.8,-1.2,99.5,-3.5,Lost E. Conf. Semis,
CHA,1999,NBA,CHH,49,33,.598,2,2.33,93.9,0.8,104.3,0.2,101.4,-2.7,Lost E. Conf. 1st Rnd.,
CHA,1998,NBA,CHH,26,24,.520,5,0.63,89.7,0.8,102.3,0.1,102.4,0.2,,
CHA,1997,NBA,CHH,51,31,.622,3,2.45,89.4,-0.9,107.5,2.5,105.3,0.3,Lost E. Conf. Semis,
CHA,1996,NBA,CHH,54,28,.659,4,2.13,88.6,-1.5,110.9,4.2,108.9,2.2,Lost E. Conf. 1st Rnd.,
CHA,1995,NBA,CHH,41,41,.500,6,-0.48,91.6,-0.2,111.2,3.6,111.8,4.2,,
CHA,1994,NBA,CHH,50,32,.610,2,2.87,91.2,-1.7,109.6,1.3,106.1,-2.2,Lost E. Conf. 1st Rnd.,
CHA,1993,NBA,CHH,41,41,.500,5,-0.23,97.5,2.4,108.4,2.1,108.6,2.3,,
CHA,1992,NBA,CHH,44,38,.537,3,-0.02,100.2,3.4,109.5,1.5,109.7,1.7,Lost E. Conf. Semis,
