PlayerID,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
wwillibu01,1997,37,NYK,NBA,PF,41,6,18.0,1.8,3.6,.503,0.0,0.0,,1.8,3.6,.503,1.3,1.7,.732,1.9,2.6,4.5,0.5,0.4,0.4,0.9,2.3,4.9
wwillich01,1967,24,PTP,ABA,PG,78,,39.0,8.2,20.2,.408,0.7,2.3,.287,7.6,17.9,.424,3.7,5.5,.676,,,4.8,2.2,,,3.5,3.8,20.8
wwillich01,1968,25,MNP,ABA,PG,66,,34.6,7.3,19.7,.373,1.0,3.2,.311,6.3,16.5,.385,3.1,4.3,.710,1.7,2.1,3.7,2.5,,,3.1,3.4,18.7
wwillich01,1969,26,PTP,ABA,SG,26,,35.6,7.4,20.7,.359,0.6,2.9,.213,6.8,17.8,.383,4.0,5.2,.770,1.0,2.0,3.0,3.6,,,3.1,3.1,19.5
wwillich01,1970,27,TOT,ABA,SG-PG,88,,25.5,5.7,13.8,.412,0.4,1.5,.243,5.3,12.3,.433,2.3,3.3,.701,0.8,1.6,2.4,2.8,,,2.6,2.8,14.1
wwillich01,1970,27,PTC,ABA,PG,32,,30.4,6.0,14.3,.421,0.3,1.2,.270,5.7,13.2,.435,2.4,3.4,.704,0.8,1.8,2.6,4.0,,,4.0,3.2,14.8
wwillich01,1970,27,MMP,ABA,SG,56,,22.7,5.5,13.6,.406,0.4,1.8,.232,5.1,11.8,.432,2.3,3.3,.699,0.8,1.4,2.3,2.2,,,1.8,2.5,13.7
wwillich01,1971,28,MMP,ABA,PG,82,,31.5,5.9,15.3,.382,0.5,2.1,.236,5.4,13.2,.405,3.6,4.8,.744,1.0,1.7,2.8,3.1,,,2.8,3.0,15.8
wwillich01,1972,29,TOT,ABA,PG,32,,11.6,1.2,3.6,.322,0.1,0.6,.150,1.1,3.0,.358,1.3,1.8,.719,0.1,0.4,0.6,1.8,,,1.1,1.7,3.7
wwillich01,1972,29,MMT,ABA,PG,10,,21.9,2.5,7.5,.333,0.3,1.4,.214,2.2,6.1,.361,1.9,2.6,.731,0.2,1.0,1.2,4.2,,,2.4,3.1,7.2
wwillich01,1972,29,UTS,ABA,PG,22,,6.9,0.5,1.8,.300,0.0,0.3,.000,0.5,1.5,.353,1.0,1.4,.710,0.1,0.2,0.3,0.8,,,0.5,1.0,2.1
wwillich02,1970,24,PTC,ABA,PG,83,,21.6,3.2,7.4,.437,0.0,0.0,.250,3.2,7.3,.438,3.0,3.8,.785,1.1,1.1,2.2,2.0,,,1.8,1.9,9.5
wwillich02,1971,25,DNR,ABA,PG,84,,18.8,3.1,6.9,.451,0.0,0.0,.000,3.1,6.9,.454,2.4,3.3,.745,0.7,1.1,1.9,1.9,,,1.2,1.7,8.7
wwillich02,1972,26,SDA,ABA,PG,83,,37.0,5.9,12.3,.478,0.0,0.1,.143,5.9,12.2,.481,5.9,7.5,.791,0.9,1.9,2.8,7.0,,,2.8,3.3,17.7
wwillich02,1973,27,TOT,ABA,PG,90,,32.0,4.5,10.2,.441,0.0,0.1,.333,4.5,10.1,.443,3.3,4.2,.783,0.9,1.9,2.8,6.2,1.0,0.1,2.8,2.2,12.4
wwillich02,1973,27,SDA,ABA,PG,57,,34.3,5.2,11.6,.447,0.1,0.2,.333,5.1,11.5,.449,4.0,5.0,.796,1.1,2.0,3.1,6.8,1.1,0.1,3.0,2.3,14.4
