Team_id,Season,No,Player,Pos,Experience
CHI,2005,30,thomaja02,PF,1,
CHI,2005,2,thomati01,SF,8,
CHI,2004,3,chandty01,C,3,
CHI,2004,2,curryed01,C,3,
CHI,2004,34,davisan01,PF,11,
CHI,2004,9,denglu01,SF,0,
CHI,2004,21,duhonch01,PG,0,
CHI,2004,51,fundela01,PF,6,
CHI,2004,7,gordobe01,SG,0,
CHI,2004,44,griffad01,SF,5,
CHI,2004,24,harriot01,PF,8,
CHI,2004,12,hinriki01,PG,1,
CHI,2004,5,nocioan01,SF,0,
CHI,2004,15,pargoja01,PG,2,
CHI,2004,52,piatker01,SG,10,
CHI,2004,35,reineja01,C,0,
CHI,2004,30,willifr02,SG,2,
CHI,2003,35,baxtelo01,PF,1,
CHI,2003,43,blounco01,PF,10,
CHI,2003,9,brunsri01,PG,6,
CHI,2003,3,chandty01,PF,2,
CHI,2003,1,crawfja01,SG,3,
CHI,2003,2,curryed01,PF,2,
CHI,2003,34,davisan01,C,10,
CHI,2003,20,duprero01,SF,0,
CHI,2003,21,fizerma01,SF,3,
CHI,2003,13,gillke01,SG,13,
CHI,2003,12,hinriki01,PG,0,
CHI,2003,6,jeffech01,SF,1,
CHI,2003,8,johnsli01,SF,0,
CHI,2003,42,marshdo01,PF,9,
CHI,2003,31,masonro01,SG,1,
CHI,2003,15,pargoja01,PG,1,
CHI,2003,33,pippesc01,SF,16,
CHI,2003,32,robined01,SF,4,
CHI,2003,5,roseja01,SF,9,
CHI,2003,45,shirlpa01,PF,1,
CHI,2003,11,willije01,PF,7,
CHI,2002,11,bagarda01,C,2,
CHI,2002,35,baxtelo01,C,0,
CHI,2002,43,blounco01,C,9,
CHI,2002,9,brunsri01,PG,5,
CHI,2002,3,chandty01,C,1,
CHI,2002,1,crawfja01,PG,2,
CHI,2002,2,curryed01,C,1,
CHI,2002,21,fizerma01,PF,2,
